ID_HECHO,N_VICTIMAS,FECHA,HORA,TIPO_DE_CALLE,COMUNA,XY (CABA),LONGITUD,LATITUD,VEHICULO_ACUSADO
2018-0091,1,2018-08-19,18.0,AUTOPISTA,9.0,Point (94544.31344300 99185.28796442),-58.52280139,-34.63659934,AUTO
2018-0092,1,2018-08-20,8.0,AVENIDA,14.0,Point (103662.91363929 103496.49206019),-58.4233693,-34.59774487,AUTO
2018-0093,1,2018-08-20,8.0,CALLE,1.0,Point (107004.02001368 99798.84856249),-58.38691681,-34.63105973,PASAJEROS
2018-0094,1,2018-08-23,5.0,CALLE,14.0,Point (104734.93787233 104821.22705013),-58.4116902,-34.5857988,PASAJEROS
2018-0095,1,2018-08-26,0.0,AVENIDA,9.0,Point (99624.29795829 97569.69801131),-58.46739825,-34.65117757,AUTO
2018-0096,1,2018-08-31,22.0,AUTOPISTA,8.0,Point (101692.57924565 95312.63822646),-58.44483258,-34.67152226,AUTO
2018-0097,1,2018-09-02,10.0,AVENIDA,8.0,Point (102819.52927414 96448.46140692),-58.43254025,-34.66128115,OTRO
2018-0098,2,2018-09-09,5.0,GRAL PAZ,8.0,Point (99203.46279192 92552.75548716),-58.47199387,-34.69640164,AUTO
2018-0099,1,2018-09-12,14.0,AVENIDA,7.0,Point (99925.51296558 100002.14427355),-58.46411215,-34.62925068,PASAJEROS
2018-0100,1,2018-09-20,10.0,AVENIDA,1.0,Point (109273.33013929 100616.46322293),-58.36217754,-34.62367156,AUTO
2018-0101,1,2018-09-21,0.0,GRAL PAZ,12.0,Point (98376.44189669 109821.71138325),-58.48098594,-34.5407313,MULTIPLE
2018-0102,1,2018-09-21,0.0,CALLE,4.0,Point (104810.02928662 98097.69340075),-58.41083404,-34.64640709,AUTO
2018-0103,1,2018-09-27,17.0,AVENIDA,7.0,Point (101577.07056955 98313.98170453),-58.44609828,-34.64446729,MOTO
2018-0104,1,2018-10-01,8.0,AUTOPISTA,4.0,Point (107903.91828587 98767.43091425),-58.37709334,-34.64035082,MOTO
2018-0105,1,2018-10-03,18.0,AVENIDA,7.0,Point (99418.67591727 99840.67619219),-58.46963952,-34.63070603,PASAJEROS
2018-0106,1,2018-10-04,22.0,AVENIDA,13.0,Point (102437.44187502 108614.72855724),-58.43674281,-34.55161027,MOTO
2018-0107,1,2018-10-06,14.0,AVENIDA,3.0,Point (105258.35368554 102122.93231400),-58.4059686,-34.61011987,PASAJEROS
2018-0108,1,2018-10-09,14.0,AVENIDA,1.0,Point (109333.85016626 102728.06777580),-58.36154069,-34.60463618,AUTO
2018-0109,1,2018-10-10,22.0,AVENIDA,1.0,Point (108501.28725227 103169.39367565),-58.37062179,-34.60066507,PASAJEROS
2018-0110,1,2018-10-13,3.0,AVENIDA,15.0,Point (102852.69197214 103016.76479974),-58.43220014,-34.60207186,MOTO
2018-0111,1,2018-10-19,12.0,AUTOPISTA,9.0,Point (99423.87045126 97756.09331484),-58.46958442,-34.64949724,CARGAS
2018-0112,1,2018-10-24,9.0,CALLE,15.0,Point (101521.41058610 103279.18839709),-58.44671397,-34.59970903,CARGAS
2018-0113,1,2018-10-25,11.0,CALLE,11.0,Point (99245.93828707 101610.8222803),-58.47152163,-34.61474911,CARGAS
2018-0114,1,2018-10-30,2.0,AVENIDA,1.0,Point (106692.15004353 101239.02351805),-58.39032921,-34.61807951,AUTO
2018-0115,1,2018-10-31,12.0,CALLE,9.0,Point (93987.63954589 98477.26093452),-58.52887773,-34.64297861,PASAJEROS
2018-0116,1,2018-11-01,10.0,GRAL PAZ,8.0,Point (97213.03214767 94392.58930391),-58.49371157,-34.67981324,CARGAS
2018-0117,1,2018-11-04,8.0,AVENIDA,9.0,Point (98224.84159668 96577.14272605),-58.48266599,-34.66012327,MOTO
2018-0118,1,2018-11-05,14.0,AVENIDA,3.0,Point (105244.38396064 102386.61371612),-58.40612253,-34.60774301,MOTO
2018-0119,1,2018-11-05,22.0,AVENIDA,8.0,Point (102489.86457298 96266.15892101),-58.43613623,-34.66292532,
2018-0120,1,2018-11-09,13.0,AVENIDA,12.0,Point (98237.46824855 106343.83342545),-58.48250732,-34.57208238,AUTO
2018-0121,1,2018-11-09,16.0,AVENIDA,10.0,Point (96684.78779898 99093.85665638),-58.49945705,-34.6374328,PASAJEROS
2018-0122,1,2018-11-12,1.0,AUTOPISTA,8.0,Point (98704.10681045 95222.62689520),-58.47743966,-34.67233407,AUTO
2018-0123,1,2018-11-12,3.0,GRAL PAZ,9.0,Point (96405.76679348 94981.38013791),-58.5025179,-34.67450313,
2018-0124,1,2018-11-15,19.0,AUTOPISTA,9.0,Point (94668.77734942 99160.32825286),-58.52144411,-34.63682499,CARGAS
2018-0125,1,2018-11-16,21.0,AVENIDA,4.0,Point (104289.92773867 97606.13539657),-58.41650465,-34.65084045,PASAJEROS
2018-0126,1,2018-11-18,12.0,GRAL PAZ,9.0,Point (93889.86789861 98745.59348173),-58.52994219,-34.64055918,AUTO
2018-0127,1,2018-11-19,9.0,GRAL PAZ,12.0,Point (95720.94836751 106663.03756022),-58.50993046,-34.56919739,MOTO
2018-0128,2,2018-11-25,4.0,GRAL PAZ,9.0,Point (94027.41355272 98150.01779732),-58.52844623,-34.64592873,PASAJEROS
2018-0129,1,2018-11-28,4.0,AVENIDA,15.0,Point (101200.55632600 104694.24798650),-58.45021367,-34.58695347,PASAJEROS
2018-0130,1,2018-12-03,3.0,AVENIDA,10.0,Point (97531.36286491 100173.61049110),-58.49022072,-34.62770192,PASAJEROS
2018-0131,1,2018-12-07,19.0,AVENIDA,1.0,Point (108685.90894590 103124.78289557),-58.36860866,-34.60106568,CARGAS
2018-0132,1,2018-12-12,8.0,AUTOPISTA,2.0,Point (106275.90279188 106304.98623165),-58.39490504,-34.57241534,CARGAS
2018-0133,1,2018-12-12,14.0,AVENIDA,7.0,Point (99418.67591727 99840.67619219),-58.46963952,-34.63070603,CARGAS
2018-0134,1,2018-12-12,21.0,AVENIDA,7.0,Point (103649.67568294 98786.92074818),-58.42349365,-34.64019887,MOTO
2018-0135,1,2018-12-18,14.0,AVENIDA,1.0,Point (108124.38297421 101840.19801704),-58.37471802,-34.61265002,PASAJEROS
2018-0136,1,2018-12-18,15.0,AVENIDA,7.0,Point (99900.22869225 100014.51595495),-58.46438789,-34.62913916,PASAJEROS
2018-0137,1,2018-12-18,20.0,CALLE,1.0,Point (107198.03031731 102023.53206745),-58.38481975,-34.61100424,PASAJEROS
2018-0138,1,2018-12-21,9.0,CALLE,10.0,Point (95944.83421152 100945.68379559),-58.50751833,-34.62073702,PASAJEROS
2018-0139,1,2018-12-22,6.0,CALLE,7.0,Point (101510.09611838 98933.71958961),-58.44682986,-34.63888084,MOTO
2018-0140,1,2018-12-22,8.0,CALLE,1.0,Point (109469.86887005 101709.86665960),-58.3600465,-34.61381341,AUTO
2018-0141,1,2018-12-22,17.0,AVENIDA,5.0,Point (104420.68512694 100931.98574919),-58.41509546,-34.62085945,MOTO
2018-0142,1,2018-12-25,13.0,GRAL PAZ,12.0,Point (95716.93710226 106295.47905158),-58.50997604,-34.57251072,PASAJEROS
2018-0143,1,2018-12-29,5.0,AVENIDA,10.0,Point (97912.79273192 98756.38729095),-58.48606475,-34.64047818,AUTO
2019-0001,1,2019-01-08,8.0,AVENIDA,2.0,Point (107160.34141948 105678.38284277),-58.38526125,-34.5780581,CARGAS
2019-0002,1,2019-01-09,4.0,AVENIDA,7.0,Point (100794.20933352 97609.18063839),-58.45463662,-34.65082149,CARGAS
2019-0003,1,2019-01-12,8.0,AVENIDA,15.0,Point (97439.07314838 103559.40773606),-58.49121672,-34.59718073,AUTO
2019-0004,1,2019-01-14,19.0,AVENIDA,9.0,Point (99087.21233087 97384.56622913),-58.47325712,-34.65284605,PASAJEROS
2019-0005,1,2019-01-19,12.0,AVENIDA,10.0,Point (94701.87719386 99493.36109269),-58.52108101,-34.63382309,CARGAS
2019-0006,1,2019-01-23,5.0,AVENIDA,14.0,Point (104292.73762877 108227.37900690),-58.41652702,-34.55509606,AUTO
2019-0007,1,2019-01-26,19.0,CALLE,5.0,Point (103153.61467028 102057.67908768),-58.42891604,-34.6107166,AUTO
2019-0008,1,2019-01-30,22.0,GRAL PAZ,8.0,Point (98650.97430792 93088.91481914),-58.47802293,-34.69156793,MULTIPLE
2019-0009,1,2019-01-31,14.0,AVENIDA,1.0,Point (108038.17400278 100802.81492813),-58.37564821,-34.62200207,AUTO
2019-0010,2,2019-02-02,7.0,AVENIDA,14.0,Point (103359.87920798 106617.17056502),-58.42668489,-34.56961468,AUTO
2019-0011,1,2019-02-10,1.0,GRAL PAZ,9.0,Point (94949.53051500 96309.49139706),-58.5183993,-34.66252488,AUTO
2019-0012,1,2019-02-17,3.0,AVENIDA,8.0,Point (98072.98959434 94742.80804806),-58.48432691,-34.67665828,AUTO
2019-0013,1,2019-02-20,7.0,CALLE,7.0,Point (102701.07793891 98301.55899449),-58.4338383,-34.64457699,AUTO
2019-0014,1,2019-02-20,17.0,CALLE,11.0,Point (95105.42229190 104734.49416290),-58.51664939,-34.58657938,OBJETO FIJO
2019-0015,1,2019-02-23,6.0,AVENIDA,11.0,Point (96988.34526261 103575.43345979),-58.49613012,-34.59703502,OBJETO FIJO
2019-0016,1,2019-02-24,2.0,CALLE,4.0,Point (107350.48403234 99520.90259673),-58.38313603,-34.63356284,PASAJEROS
2019-0017,1,2019-03-03,7.0,CALLE,3.0,Point (105883.57359899 101434.40486977),-58.39914719,-34.61632317,PASAJEROS
2019-0018,1,2019-03-03,23.0,AUTOPISTA,13.0,Point (101287.58627255 109848.96522762),-58.44927253,-34.54048625,AUTO
2019-0019,1,2019-03-06,12.0,AVENIDA,13.0,Point (101175.50098927 108378.70762331),-58.45049163,-34.55374003,AUTO
2019-0020,1,2019-03-07,21.0,AVENIDA,5.0,Point (104622.17042668 99282.25347815),-58.41288952,-34.63572989,AUTO
2019-0021,1,2019-03-15,22.0,AVENIDA,7.0,Point (100537.72694403 100405.74808196),-58.45743597,-34.62561234,AUTO
2019-0022,1,2019-03-15,0.0,AVENIDA,1.0,Point (106608.39392805 100635.27735528),-58.39123782,-34.62352245,
2019-0023,1,2019-03-16,8.0,GRAL PAZ,9.0,Point (93955.07404645 99209.29091025),-58.52922765,-34.63637963,OBJETO FIJO
2019-0024,1,2019-03-19,7.0,AVENIDA,1.0,Point (108368.93688513 104860.74716674),-58.37208118,-34.58541957,CARGAS
2019-0025,1,2019-03-22,13.0,CALLE,5.0,Point (104468.07400702 102205.91009215),-58.41458534,-34.60937557,AUTO
2019-0026,1,2019-03-28,7.0,AVENIDA,8.0,Point (98491.08733048 93092.87943671),-58.47976785,-34.69153196,PASAJEROS
2019-0027,1,2019-03-28,11.0,AVENIDA,2.0,Point (105815.73438780 103786.90549585),-58.39990285,-34.59511714,MULTIPLE
2019-0028,1,2019-04-06,9.0,AVENIDA,11.0,Point (100255.56175905 102594.14179920),-58.46051346,-34.60588536,PASAJEROS
2019-0029,1,2019-04-07,10.0,AVENIDA,8.0,Point (98491.08733048 93092.87943671),-58.47976785,-34.69153196,OBJETO FIJO
