ID_HECHO,N_VICTIMAS,FECHA,HORA,COMUNA,TIPO_DE_CALLE,XY (CABA),LONGITUD,LATITUD,VEHICULO_ACUSADO
LC-2020-0066855,1,2020-01-31,15.0,2,AVENIDA,Point (105826.930755189 104862.244096508),-58.399788114409,-34.585423503586,TRANSPORTE PUBLICO
LC-2020-0066869,1,2020-01-31,17.0,12,AVENIDA,Point (97389.5966350736 105213.533816952),-58.491750884491,-34.582269576027,
LC-2020-0067026,1,2020-01-31,12.0,3,CALLE,Point (105377.207158755 102273.265529744),-58.404673708111,-34.608764097594,TAXI
LC-2020-0067058,1,2020-01-31,17.0,14,AVENIDA,Point (105110.031827252 106073.864800811),-58.407609254846,-34.574505180286,AUTO
LC-2020-0067093,1,2020-01-31,1.0,12,GRAL PAZ,Point (97850.5741709057 109546.394283786),-58.486715357861,-34.5432121651,CAMIONETA
LC-2020-0067105,1,2020-01-31,15.0,12,AVENIDA,Point (97389.5966350736 105213.533816952),-58.491750884491,-34.582269576027,AUTO
LC-2020-0067107,1,2020-01-31,17.0,10,CALLE,Point (96952.7872481328 101222.926863487),-58.496526348831,-34.618241389955,AUTO
LC-2020-0067119,1,2020-01-31,18.0,7,AVENIDA,Point (100257.30183469 101640.681681962),-58.460494270959,-34.614480248189,
LC-2020-0067132,1,2020-01-31,19.0,,,,,,AUTO
LC-2020-0067136,1,2020-01-31,10.0,13,AVENIDA,Point (99724.1869702037 110270.424773756),-58.466303694523,-34.536687686836,AUTO
LC-2020-0067190,1,2020-01-31,17.0,7,AVENIDA,Point (99888.3016210734 97709.2745206054),-58.464518413154,-34.649919462703,
LC-2020-0067245,1,2020-01-31,16.0,3,AVENIDA,Point (106612.549918596 100244.756674467),-58.391189482212,-34.627042732101,AUTO
LC-2020-0067352,1,2020-01-31,17.0,13,CALLE,Point (100808.498417678 107737.370759124),-58.454489743408,-34.559521696842,AUTO
LC-2020-0067635,1,2020-02-01,23.0,6,CALLE,Point (102764.608560294 101901.078782191),-58.433156853845,-34.612129364812,AUTO
LC-2020-0067663,1,2020-02-01,23.0,3,AVENIDA,Point (106565.527583232 101711.19167744),-58.391713520434,-34.613824010185,AUTO
LC-2020-0067818,1,2020-02-01,23.0,11,AVENIDA,Point (100054.547774737 102429.175615128),-58.462704985806,-34.607372457359,AUTO
LC-2020-0067883,2,2020-02-01,2.0,8,CALLE,Point (98971.6910695088 93360.0333306817),-58.474522434339,-34.689124386564,CAMIONETA
LC-2020-0068156,1,2020-02-01,10.0,3,AVENIDA,Point (105765.973943563 100631.477180242),-58.400424056041,-34.623561746559,AUTO
LC-2020-0068252,1,2020-02-01,11.0,,,Point (102236.09418446020572446 97628.24624430423136801),-58.4389083180655,-34.6506475734645,CAMIONETA
